Epochs,5,10,15,20,25,30,35,40,45,50,,,,,,,,,,,,
no,0.113499999,0.089199997,0.097999997,0.102799997,0.103200004,0.100900002,0.101000004,0.095899999,0.100500003,0.097400002,,,,,,,,,,,,
random,0.113499999,0.2016,0.290899992,0.279700011,0.2465,0.248600006,0.238499999,0.28459999,0.26699999,0.265700012,,,,,,,,,,,,
least-forgetting,0.113499999,0.200800002,0.265199989,0.222000003,0.2421,0.103500001,0.103500001,0.103200004,0.095799997,0.098200001,,,,,,,,,,,,
most-forgetting,0.113499999,0.201299995,0.231999993,0.270799994,0.253500015,0.256399989,0.324200004,0.362399995,0.394800007,0.388099998,,,,,,,,,,,,
confidence,0.113499999,0.205200002,0.209399998,0.198400006,0.103200004,0.103200004,0.103200004,0.101000004,0.101000004,0.095799997,,,,,,,,,,,,
no,0.097999997,0.103200004,0.097400002,0.102799997,0.120700002,0.102200001,0.118699998,0.090300001,0.098200001,0.101000004,,,,,,,,,,,,
random,0.098099999,0.200200006,0.241600007,0.179399997,0.283899993,0.235599995,0.306300014,0.30430001,0.246800005,0.2016,,,,,,,,,,,,
least-forgetting,0.097999997,0.198699996,0.223299995,0.234400004,0.243699998,0.237100005,0.299400002,0.248400003,0.185200006,0.186900005,,,,,,,,,,,,
most-forgetting,0.097999997,0.199200004,0.270099998,0.265199989,0.297500014,0.213,0.190899998,0.261900008,0.1708,0.189600006,,,,,,,,,,,,
confidence,0.097999997,0.103200004,0.103200004,0.277099997,0.316300005,0.267500013,0.363299996,0.321799994,0.185399994,0.233199999,,,,,,,,,,,,
no,0.103200004,0.095799997,0.101000004,0.097400002,0.097999997,0.098300003,0.113499999,0.102799997,0.089199997,0.100900002,,,,,,,,,,,,
random,0.103200004,0.194700003,0.246199995,0.194199994,0.2148,0.283300012,0.309399992,0.273799986,0.271600008,0.323500007,,,,,,,,,,,,
least-forgetting,0.103200004,0.195700005,0.210099995,0.266799986,0.206100002,0.098200001,0.2086,0.273799986,0.289600015,0.260699987,,,,,,,,,,,,
most-forgetting,0.103200004,0.132200003,0.228200004,0.207599998,0.284500003,0.355599999,0.391499996,0.448700011,0.436100006,0.254999995,,,,,,,,,,,,
confidence,0.103200004,0.194199994,0.196400002,0.097400002,0.097400002,0.097999997,0.098200001,0.113499999,0.113499999,0.102799997,,,,,,,,,,,,
no,0.101000004,0.103200004,0.114799999,0.100900002,0.097599998,0.089199997,0.098200001,0.102799997,0.101099998,0.102200001,,,,,,,,,,,,
random,0.101000004,0.201199993,0.175600007,0.212599993,0.100900002,0.097400002,0.097400002,0.293500006,0.196899995,0.189700007,,,,,,,,,,,,
least-forgetting,0.101000004,0.200299993,0.213499993,0.282299995,0.283800006,0.197999999,0.268099993,0.262699991,0.269300014,0.282900006,,,,,,,,,,,,
most-forgetting,0.101000004,0.198899999,0.307900012,0.326400012,0.097400002,0.097400002,0.097400002,0.098200001,0.098200001,0.102799997,,,,,,,,,,,,
confidence,0.101000004,0.194100007,0.293000013,0.295700014,0.287900001,0.235499993,0.2095,0.274800003,0.253899992,0.283800006,,,,,,,,,,,,
no,0.097999997,0.095799997,0.097599998,0.101000004,0.101000004,0.115099996,0.098300003,0.113499999,0.089199997,0.103200004,,,,,,,,,,,,
random,0.097999997,0.191400006,0.236599997,0.273299992,0.247299999,0.252000004,0.3046,0.28580001,0.249300003,0.189500004,,,,,,,,,,,,
least-forgetting,0.097999997,0.185599998,0.254700005,0.264299989,0.197500005,0.206499994,0.116599999,0.210299999,0.114799999,0.114799999,,,,,,,,,,,,
most-forgetting,0.097999997,0.190200001,0.252499998,0.241500005,0.2588,0.369700015,0.421000004,0.466399997,0.215800002,0.247700006,,,,,,,,,,,,
confidence,0.097999997,0.189300001,0.266200006,0.255699992,0.247199997,0.102799997,0.102799997,0.098200001,0.173800007,0.30309999,,,,,,,,,,,,
no,0.089199997,0.102799997,0.098200001,0.097999997,0.095799997,0.114399999,0.103200004,0.097400002,0.100900002,0.101000004,,,,,,,,,,,,
random,0.089199997,0.187600002,0.203099996,0.209199995,0.34040001,0.296299994,0.300099999,0.324999988,0.244299993,0.241899997,,,,,,,,,,,,
least-forgetting,0.089199997,0.189799994,0.194499999,0.282599986,0.329100013,0.207499996,0.280000001,0.288599998,0.314500004,0.255800009,,,,,,,,,,,,
most-forgetting,0.089199997,0.189400002,0.197999999,0.289000005,0.192300007,0.2042,0.297300011,0.30309999,0.300799996,0.205300003,,,,,,,,,,,,
confidence,0.089199997,0.188500002,0.273699999,0.293199986,0.280299991,0.308899999,0.218500003,0.262499988,0.130099997,0.106600001,,,,,,,,,,,,
no,0.098700002,0.101000004,0.102799997,0.089699998,0.098200001,0.0977,0.100900002,0.097400002,0.103200004,0.113499999,,,,,,,,,,,,
random,0.097999997,0.197899997,0.282099992,0.220899999,0.213100001,0.1954,0.218400002,0.208000004,0.264499992,0.220500007,,,,,,,,,,,,
least-forgetting,0.097999997,0.192699999,0.280699998,0.228400007,0.2333,0.200200006,0.0964,0.161300004,0.246000007,0.252600014,,,,,,,,,,,,
most-forgetting,0.097999997,0.188899994,0.253500015,0.214699998,0.318699986,0.367799997,0.239999995,0.197999999,0.164800003,0.369100004,,,,,,,,,,,,
confidence,0.099200003,0.193399996,0.272199988,0.190599993,0.166899994,0.184300005,0.216100007,0.275000006,0.219400004,0.306499988,,,,,,,,,,,,
no,0.089199997,0.103200004,0.101000004,0.099299997,0.101800002,0.1065,0.100900002,0.095799997,0.140100002,0.114500001,,,,,,,,,,,,
random,0.089199997,0.191100001,0.242899999,0.255400002,0.27700001,0.235300004,0.255600005,0.318399996,0.239500001,0.295599997,,,,,,,,,,,,
least-forgetting,0.089199997,0.178800002,0.235100001,0.2368,0.326599985,0.291900009,0.279199988,0.256399989,0.198699996,0.315400004,,,,,,,,,,,,
most-forgetting,0.089199997,0.189899996,0.210099995,0.257200003,0.346700013,0.227400005,0.274500012,0.260399997,0.198799998,0.187900007,,,,,,,,,,,,
confidence,0.089199997,0.190799996,0.201700002,0.202099994,0.194399998,0.189899996,0.26910001,0.280800015,0.197999999,0.288899988,,,,,,,,,,,,
no,0.102799997,0.100900002,0.100000001,0.105999999,0.097999997,0.098499998,0.102600001,0.104900002,0.089199997,0.114399999,,,,,,,,,,,,
random,0.102799997,0.196600005,0.097999997,0.202900007,0.267399997,0.287999988,0.323599994,0.262899995,0.236399993,0.217399999,,,,,,,,,,,,
least-forgetting,0.102799997,0.193800002,0.276899993,0.277999997,0.272799999,0.265300006,0.289700001,0.282799989,0.276499987,0.290399998,,,,,,,,,,,,
most-forgetting,0.102799997,0.193900004,0.249699995,0.331999987,0.366100013,0.404000014,0.407099992,0.249500006,0.103299998,0.103200004,,,,,,,,,,,,
confidence,0.102799997,0.197600007,0.267399997,0.279399991,0.269300014,0.193399996,0.191,0.201199993,0.103200004,0.1884,,,,,,,,,,,,
no,0.103200004,0.097400002,0.098200001,0.098200001,0.102799997,0.102799997,0.097999997,0.113499999,0.113499999,0.113499999,,,,,,,,,,,,
random,0.103200004,0.194900006,0.194199994,0.264899999,0.281100005,0.292600006,0.353399992,0.297699988,0.286000013,0.199599996,,,,,,,,,,,,
least-forgetting,0.103200004,0.148300007,0.265199989,0.102799997,0.198400006,0.28639999,0.300300002,0.304800004,0.28639999,0.186900005,,,,,,,,,,,,
most-forgetting,0.103200004,0.179199994,0.098200001,0.197899997,0.199200004,0.280600011,0.383700013,0.317999989,0.296299994,0.285600007,,,,,,,,,,,,
confidence,0.103200004,0.163000003,0.099299997,0.198200002,0.191200003,0.2016,0.303000003,0.351799995,0.282700002,0.317400008,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Epochs,5,10,15,20,25,30,35,40,45,50,,Epochs,no,no,no,no,no,no,no,no,no,no
no,0.113499999,0.089199997,0.097999997,0.102799997,0.103200004,0.100900002,0.101000004,0.095899999,0.100500003,0.097400002,,5,0.113499999,0.097999997,0.103200004,0.101000004,0.097999997,0.089199997,0.098700002,0.089199997,0.102799997,0.103200004
no,0.097999997,0.103200004,0.097400002,0.102799997,0.120700002,0.102200001,0.118699998,0.090300001,0.098200001,0.101000004,,10,0.089199997,0.103200004,0.095799997,0.103200004,0.095799997,0.102799997,0.101000004,0.103200004,0.100900002,0.097400002
no,0.103200004,0.095799997,0.101000004,0.097400002,0.097999997,0.098300003,0.113499999,0.102799997,0.089199997,0.100900002,,15,0.097999997,0.097400002,0.101000004,0.114799999,0.097599998,0.098200001,0.102799997,0.101000004,0.100000001,0.098200001
no,0.101000004,0.103200004,0.114799999,0.100900002,0.097599998,0.089199997,0.098200001,0.102799997,0.101099998,0.102200001,,20,0.102799997,0.102799997,0.097400002,0.100900002,0.101000004,0.097999997,0.089699998,0.099299997,0.105999999,0.098200001
no,0.097999997,0.095799997,0.097599998,0.101000004,0.101000004,0.115099996,0.098300003,0.113499999,0.089199997,0.103200004,,25,0.103200004,0.120700002,0.097999997,0.097599998,0.101000004,0.095799997,0.098200001,0.101800002,0.097999997,0.102799997
no,0.089199997,0.102799997,0.098200001,0.097999997,0.095799997,0.114399999,0.103200004,0.097400002,0.100900002,0.101000004,,30,0.100900002,0.102200001,0.098300003,0.089199997,0.115099996,0.114399999,0.0977,0.1065,0.098499998,0.102799997
no,0.098700002,0.101000004,0.102799997,0.089699998,0.098200001,0.0977,0.100900002,0.097400002,0.103200004,0.113499999,,35,0.101000004,0.118699998,0.113499999,0.098200001,0.098300003,0.103200004,0.100900002,0.100900002,0.102600001,0.097999997
no,0.089199997,0.103200004,0.101000004,0.099299997,0.101800002,0.1065,0.100900002,0.095799997,0.140100002,0.114500001,,40,0.095899999,0.090300001,0.102799997,0.102799997,0.113499999,0.097400002,0.097400002,0.095799997,0.104900002,0.113499999
no,0.102799997,0.100900002,0.100000001,0.105999999,0.097999997,0.098499998,0.102600001,0.104900002,0.089199997,0.114399999,,45,0.100500003,0.098200001,0.089199997,0.101099998,0.089199997,0.100900002,0.103200004,0.140100002,0.089199997,0.113499999
no,0.103200004,0.097400002,0.098200001,0.098200001,0.102799997,0.102799997,0.097999997,0.113499999,0.113499999,0.113499999,,50,0.097400002,0.101000004,0.100900002,0.102200001,0.103200004,0.101000004,0.113499999,0.114500001,0.114399999,0.113499999
,,,,,,,,,,,,,,,,,,,,,,
Epochs,5,10,15,20,25,30,35,40,45,50,,Epochs,random,random,random,random,random,random,random,random,random,random
random,0.113499999,0.2016,0.290899992,0.279700011,0.2465,0.248600006,0.238499999,0.28459999,0.26699999,0.265700012,,5,0.113499999,0.098099999,0.103200004,0.101000004,0.097999997,0.089199997,0.097999997,0.089199997,0.102799997,0.103200004
random,0.098099999,0.200200006,0.241600007,0.179399997,0.283899993,0.235599995,0.306300014,0.30430001,0.246800005,0.2016,,10,0.2016,0.200200006,0.194700003,0.201199993,0.191400006,0.187600002,0.197899997,0.191100001,0.196600005,0.194900006
random,0.103200004,0.194700003,0.246199995,0.194199994,0.2148,0.283300012,0.309399992,0.273799986,0.271600008,0.323500007,,15,0.290899992,0.241600007,0.246199995,0.175600007,0.236599997,0.203099996,0.282099992,0.242899999,0.097999997,0.194199994
random,0.101000004,0.201199993,0.175600007,0.212599993,0.100900002,0.097400002,0.097400002,0.293500006,0.196899995,0.189700007,,20,0.279700011,0.179399997,0.194199994,0.212599993,0.273299992,0.209199995,0.220899999,0.255400002,0.202900007,0.264899999
random,0.097999997,0.191400006,0.236599997,0.273299992,0.247299999,0.252000004,0.3046,0.28580001,0.249300003,0.189500004,,25,0.2465,0.283899993,0.2148,0.100900002,0.247299999,0.34040001,0.213100001,0.27700001,0.267399997,0.281100005
random,0.089199997,0.187600002,0.203099996,0.209199995,0.34040001,0.296299994,0.300099999,0.324999988,0.244299993,0.241899997,,30,0.248600006,0.235599995,0.283300012,0.097400002,0.252000004,0.296299994,0.1954,0.235300004,0.287999988,0.292600006
random,0.097999997,0.197899997,0.282099992,0.220899999,0.213100001,0.1954,0.218400002,0.208000004,0.264499992,0.220500007,,35,0.238499999,0.306300014,0.309399992,0.097400002,0.3046,0.300099999,0.218400002,0.255600005,0.323599994,0.353399992
random,0.089199997,0.191100001,0.242899999,0.255400002,0.27700001,0.235300004,0.255600005,0.318399996,0.239500001,0.295599997,,40,0.28459999,0.30430001,0.273799986,0.293500006,0.28580001,0.324999988,0.208000004,0.318399996,0.262899995,0.297699988
random,0.102799997,0.196600005,0.097999997,0.202900007,0.267399997,0.287999988,0.323599994,0.262899995,0.236399993,0.217399999,,45,0.26699999,0.246800005,0.271600008,0.196899995,0.249300003,0.244299993,0.264499992,0.239500001,0.236399993,0.286000013
random,0.103200004,0.194900006,0.194199994,0.264899999,0.281100005,0.292600006,0.353399992,0.297699988,0.286000013,0.199599996,,50,0.265700012,0.2016,0.323500007,0.189700007,0.189500004,0.241899997,0.220500007,0.295599997,0.217399999,0.199599996
,,,,,,,,,,,,,,,,,,,,,,
Epochs,5,10,15,20,25,30,35,40,45,50,,Epochs,confidence,confidence,confidence,confidence,confidence,confidence,confidence,confidence,confidence,confidence
confidence,0.113499999,0.205200002,0.209399998,0.198400006,0.103200004,0.103200004,0.103200004,0.101000004,0.101000004,0.095799997,,5,0.113499999,0.097999997,0.103200004,0.101000004,0.097999997,0.089199997,0.099200003,0.089199997,0.102799997,0.103200004
confidence,0.097999997,0.103200004,0.103200004,0.277099997,0.316300005,0.267500013,0.363299996,0.321799994,0.185399994,0.233199999,,10,0.205200002,0.103200004,0.194199994,0.194100007,0.189300001,0.188500002,0.193399996,0.190799996,0.197600007,0.163000003
confidence,0.103200004,0.194199994,0.196400002,0.097400002,0.097400002,0.097999997,0.098200001,0.113499999,0.113499999,0.102799997,,15,0.209399998,0.103200004,0.196400002,0.293000013,0.266200006,0.273699999,0.272199988,0.201700002,0.267399997,0.099299997
confidence,0.101000004,0.194100007,0.293000013,0.295700014,0.287900001,0.235499993,0.2095,0.274800003,0.253899992,0.283800006,,20,0.198400006,0.277099997,0.097400002,0.295700014,0.255699992,0.293199986,0.190599993,0.202099994,0.279399991,0.198200002
confidence,0.097999997,0.189300001,0.266200006,0.255699992,0.247199997,0.102799997,0.102799997,0.098200001,0.173800007,0.30309999,,25,0.103200004,0.316300005,0.097400002,0.287900001,0.247199997,0.280299991,0.166899994,0.194399998,0.269300014,0.191200003
confidence,0.089199997,0.188500002,0.273699999,0.293199986,0.280299991,0.308899999,0.218500003,0.262499988,0.130099997,0.106600001,,30,0.103200004,0.267500013,0.097999997,0.235499993,0.102799997,0.308899999,0.184300005,0.189899996,0.193399996,0.2016
confidence,0.099200003,0.193399996,0.272199988,0.190599993,0.166899994,0.184300005,0.216100007,0.275000006,0.219400004,0.306499988,,35,0.103200004,0.363299996,0.098200001,0.2095,0.102799997,0.218500003,0.216100007,0.26910001,0.191,0.303000003
confidence,0.089199997,0.190799996,0.201700002,0.202099994,0.194399998,0.189899996,0.26910001,0.280800015,0.197999999,0.288899988,,40,0.101000004,0.321799994,0.113499999,0.274800003,0.098200001,0.262499988,0.275000006,0.280800015,0.201199993,0.351799995
confidence,0.102799997,0.197600007,0.267399997,0.279399991,0.269300014,0.193399996,0.191,0.201199993,0.103200004,0.1884,,45,0.101000004,0.185399994,0.113499999,0.253899992,0.173800007,0.130099997,0.219400004,0.197999999,0.103200004,0.282700002
confidence,0.103200004,0.163000003,0.099299997,0.198200002,0.191200003,0.2016,0.303000003,0.351799995,0.282700002,0.317400008,,50,0.095799997,0.233199999,0.102799997,0.283800006,0.30309999,0.106600001,0.306499988,0.288899988,0.1884,0.317400008
,,,,,,,,,,,,,,,,,,,,,,
Epochs,5,10,15,20,25,30,35,40,45,50,,Epochs,most-forgetting,most-forgetting,most-forgetting,most-forgetting,most-forgetting,most-forgetting,most-forgetting,most-forgetting,most-forgetting,most-forgetting
most-forgetting,0.113499999,0.201299995,0.231999993,0.270799994,0.253500015,0.256399989,0.324200004,0.362399995,0.394800007,0.388099998,,5,0.113499999,0.097999997,0.103200004,0.101000004,0.097999997,0.089199997,0.097999997,0.089199997,0.102799997,0.103200004
most-forgetting,0.097999997,0.199200004,0.270099998,0.265199989,0.297500014,0.213,0.190899998,0.261900008,0.1708,0.189600006,,10,0.201299995,0.199200004,0.132200003,0.198899999,0.190200001,0.189400002,0.188899994,0.189899996,0.193900004,0.179199994
most-forgetting,0.103200004,0.132200003,0.228200004,0.207599998,0.284500003,0.355599999,0.391499996,0.448700011,0.436100006,0.254999995,,15,0.231999993,0.270099998,0.228200004,0.307900012,0.252499998,0.197999999,0.253500015,0.210099995,0.249699995,0.098200001
most-forgetting,0.101000004,0.198899999,0.307900012,0.326400012,0.097400002,0.097400002,0.097400002,0.098200001,0.098200001,0.102799997,,20,0.270799994,0.265199989,0.207599998,0.326400012,0.241500005,0.289000005,0.214699998,0.257200003,0.331999987,0.197899997
most-forgetting,0.097999997,0.190200001,0.252499998,0.241500005,0.2588,0.369700015,0.421000004,0.466399997,0.215800002,0.247700006,,25,0.253500015,0.297500014,0.284500003,0.097400002,0.2588,0.192300007,0.318699986,0.346700013,0.366100013,0.199200004
most-forgetting,0.089199997,0.189400002,0.197999999,0.289000005,0.192300007,0.2042,0.297300011,0.30309999,0.300799996,0.205300003,,30,0.256399989,0.213,0.355599999,0.097400002,0.369700015,0.2042,0.367799997,0.227400005,0.404000014,0.280600011
most-forgetting,0.097999997,0.188899994,0.253500015,0.214699998,0.318699986,0.367799997,0.239999995,0.197999999,0.164800003,0.369100004,,35,0.324200004,0.190899998,0.391499996,0.097400002,0.421000004,0.297300011,0.239999995,0.274500012,0.407099992,0.383700013
most-forgetting,0.089199997,0.189899996,0.210099995,0.257200003,0.346700013,0.227400005,0.274500012,0.260399997,0.198799998,0.187900007,,40,0.362399995,0.261900008,0.448700011,0.098200001,0.466399997,0.30309999,0.197999999,0.260399997,0.249500006,0.317999989
most-forgetting,0.102799997,0.193900004,0.249699995,0.331999987,0.366100013,0.404000014,0.407099992,0.249500006,0.103299998,0.103200004,,45,0.394800007,0.1708,0.436100006,0.098200001,0.215800002,0.300799996,0.164800003,0.198799998,0.103299998,0.296299994
most-forgetting,0.103200004,0.179199994,0.098200001,0.197899997,0.199200004,0.280600011,0.383700013,0.317999989,0.296299994,0.285600007,,50,0.388099998,0.189600006,0.254999995,0.102799997,0.247700006,0.205300003,0.369100004,0.187900007,0.103200004,0.285600007
,,,,,,,,,,,,,,,,,,,,,,
Epochs,5,10,15,20,25,30,35,40,45,50,,Epochs,least-forgetting,least-forgetting,least-forgetting,least-forgetting,least-forgetting,least-forgetting,least-forgetting,least-forgetting,least-forgetting,least-forgetting
least-forgetting,0.113499999,0.200800002,0.265199989,0.222000003,0.2421,0.103500001,0.103500001,0.103200004,0.095799997,0.098200001,,5,0.113499999,0.097999997,0.103200004,0.101000004,0.097999997,0.089199997,0.097999997,0.089199997,0.102799997,0.103200004
least-forgetting,0.097999997,0.198699996,0.223299995,0.234400004,0.243699998,0.237100005,0.299400002,0.248400003,0.185200006,0.186900005,,10,0.200800002,0.198699996,0.195700005,0.200299993,0.185599998,0.189799994,0.192699999,0.178800002,0.193800002,0.148300007
least-forgetting,0.103200004,0.195700005,0.210099995,0.266799986,0.206100002,0.098200001,0.2086,0.273799986,0.289600015,0.260699987,,15,0.265199989,0.223299995,0.210099995,0.213499993,0.254700005,0.194499999,0.280699998,0.235100001,0.276899993,0.265199989
least-forgetting,0.101000004,0.200299993,0.213499993,0.282299995,0.283800006,0.197999999,0.268099993,0.262699991,0.269300014,0.282900006,,20,0.222000003,0.234400004,0.266799986,0.282299995,0.264299989,0.282599986,0.228400007,0.2368,0.277999997,0.102799997
least-forgetting,0.097999997,0.185599998,0.254700005,0.264299989,0.197500005,0.206499994,0.116599999,0.210299999,0.114799999,0.114799999,,25,0.2421,0.243699998,0.206100002,0.283800006,0.197500005,0.329100013,0.2333,0.326599985,0.272799999,0.198400006
least-forgetting,0.089199997,0.189799994,0.194499999,0.282599986,0.329100013,0.207499996,0.280000001,0.288599998,0.314500004,0.255800009,,30,0.103500001,0.237100005,0.098200001,0.197999999,0.206499994,0.207499996,0.200200006,0.291900009,0.265300006,0.28639999
least-forgetting,0.097999997,0.192699999,0.280699998,0.228400007,0.2333,0.200200006,0.0964,0.161300004,0.246000007,0.252600014,,35,0.103500001,0.299400002,0.2086,0.268099993,0.116599999,0.280000001,0.0964,0.279199988,0.289700001,0.300300002
least-forgetting,0.089199997,0.178800002,0.235100001,0.2368,0.326599985,0.291900009,0.279199988,0.256399989,0.198699996,0.315400004,,40,0.103200004,0.248400003,0.273799986,0.262699991,0.210299999,0.288599998,0.161300004,0.256399989,0.282799989,0.304800004
least-forgetting,0.102799997,0.193800002,0.276899993,0.277999997,0.272799999,0.265300006,0.289700001,0.282799989,0.276499987,0.290399998,,45,0.095799997,0.185200006,0.289600015,0.269300014,0.114799999,0.314500004,0.246000007,0.198699996,0.276499987,0.28639999
least-forgetting,0.103200004,0.148300007,0.265199989,0.102799997,0.198400006,0.28639999,0.300300002,0.304800004,0.28639999,0.186900005,,50,0.098200001,0.186900005,0.260699987,0.282900006,0.114799999,0.255800009,0.252600014,0.315400004,0.290399998,0.186900005
