Epochs,5,10,15,20,25,30,35,40,45,50,,,,,,,,,,,,,
no,0.103200004,0.102799997,0.097400002,0.098899998,0.097400002,0.101800002,0.116099998,0.102799997,0.100900002,0.101000004,,,,,,,,,,,,,
random,0.103200004,0.199300006,0.291299999,0.373699993,0.438600004,0.516300023,0.626699984,0.690800011,0.638899982,0.558700025,,,,,,,,,,,,,
least-forgetting,0.103200004,0.199000001,0.274500012,0.281800002,0.362399995,0.1928,0.187000006,0.115400001,0.115400001,0.422899991,,,,,,,,,,,,,
most-forgetting,0.103200004,0.202000007,0.290699989,0.284399986,0.337700009,0.374199986,0.52759999,0.417499989,0.525399983,0.434500009,,,,,,,,,,,,,
confidence,0.103200004,0.202199996,0.283800006,0.194399998,0.211999997,0.533299983,0.628899992,0.461699992,0.100900002,0.100900002,,,,,,,,,,,,,
no,0.098200001,0.101000004,0.095799997,0.100900002,0.114799999,0.103200004,0.089199997,0.097999997,0.102799997,0.097400002,,,,,,,,,,,,,
random,0.098200001,0.196899995,0.095899999,0.095899999,0.113499999,0.113499999,0.113499999,0.103200004,0.089199997,0.097999997,,,,,,,,,,,,,
least-forgetting,0.098200001,0.197099999,0.286199987,0.339399993,0.456400007,0.518999994,0.508599997,0.654900014,0.520500004,0.51730001,,,,,,,,,,,,,
most-forgetting,0.098200001,0.198599994,0.284799993,0.367799997,0.467299998,0.535899997,0.559300005,0.685699999,0.498699993,0.60650003,,,,,,,,,,,,,
confidence,0.098200001,0.196799994,0.191100001,0.279300004,0.381799996,0.343199998,0.448599994,0.284200013,0.342799991,0.470200002,,,,,,,,,,,,,
no,0.089199997,0.101000004,0.095799997,0.133300006,0.103200004,0.098399997,0.097400002,0.098200001,0.100900002,0.102799997,,,,,,,,,,,,,
random,0.089199997,0.101599999,0.272199988,0.376700014,0.461899996,0.460000008,0.327100009,0.404500008,0.531199992,0.537100017,,,,,,,,,,,,,
least-forgetting,0.089199997,0.186499998,0.25029999,0.367799997,0.456099987,0.518599987,0.556299984,0.536899984,0.632099986,0.578000009,,,,,,,,,,,,,
most-forgetting,0.089199997,0.184699997,0.273999989,0.379299998,0.453500003,0.536300004,0.572000027,0.648299992,0.628899992,0.680800021,,,,,,,,,,,,,
confidence,0.089199997,0.183400005,0.195199996,0.301999986,0.301800013,0.529699981,0.335900009,0.521000028,0.419200003,0.520600021,,,,,,,,,,,,,
no,0.097599998,0.100900002,0.102799997,0.101000004,0.098200001,0.095899999,0.089400001,0.113799997,0.107900001,0.103200004,,,,,,,,,,,,,
random,0.097400002,0.191699997,0.262499988,0.351300001,0.281500012,0.283100009,0.46509999,0.609799981,0.699400008,0.779500008,,,,,,,,,,,,,
least-forgetting,0.097400002,0.193100005,0.281300008,0.359800011,0.439500004,0.523699999,0.414999992,0.61619997,0.62650001,0.496100008,,,,,,,,,,,,,
most-forgetting,0.097400002,0.1875,0.244499996,0.331200004,0.412299991,0.46509999,0.314799994,0.30219999,0.340700001,0.195500001,,,,,,,,,,,,,
confidence,0.097400002,0.101199999,0.187000006,0.190599993,0.276899993,0.283899993,0.182799995,0.113499999,0.113499999,0.113499999,,,,,,,,,,,,,
no,0.095799997,0.113499999,0.103200004,0.098200001,0.098099999,0.104199998,0.100900002,0.0986,0.103100002,0.089199997,,,,,,,,,,,,,
random,0.095799997,0.208800003,0.306499988,0.389400005,0.373600006,0.451900005,0.56099999,0.550199986,0.494700015,0.507499993,,,,,,,,,,,,,
least-forgetting,0.095700003,0.208299994,0.294099987,0.386400014,0.461499989,0.37349999,0.387499988,0.526199996,0.609300017,0.654999971,,,,,,,,,,,,,
most-forgetting,0.095700003,0.113499999,0.113499999,0.103200004,0.098200001,0.097400002,0.097400002,0.101000004,0.100900002,0.097999997,,,,,,,,,,,,,
confidence,0.095799997,0.207399994,0.303799987,0.388700008,0.426800013,0.5,0.526499987,0.616599977,0.628700018,0.707000017,,,,,,,,,,,,,
no,0.095799997,0.103200004,0.101000004,0.1052,0.102700002,0.097400002,0.115000002,0.108099997,0.102799997,0.089199997,,,,,,,,,,,,,
random,0.095799997,0.196600005,0.277399987,0.360000014,0.430500001,0.509800017,0.487699986,0.512399971,0.683200002,0.250200003,,,,,,,,,,,,,
least-forgetting,0.095799997,0.197099999,0.279599994,0.362599999,0.433999985,0.48969999,0.529799998,0.587100029,0.581700027,0.445600003,,,,,,,,,,,,,
most-forgetting,0.095799997,0.196500003,0.275900006,0.372599989,0.445499986,0.479099989,0.611000001,0.453299999,0.594099998,0.638999999,,,,,,,,,,,,,
confidence,0.095799997,0.195500001,0.1919,0.198500007,0.325800002,0.48969999,0.61559999,0.565299988,0.285600007,0.200499997,,,,,,,,,,,,,
no,0.089199997,0.098200001,0.101899996,0.109099999,0.115199998,0.102799997,0.097400002,0.100900002,0.101999998,0.117600001,,,,,,,,,,,,,
random,0.089199997,0.185599998,0.273099989,0.337300003,0.436199993,0.467599988,0.512600005,0.512399971,0.391000003,0.473800004,,,,,,,,,,,,,
least-forgetting,0.089199997,0.184300005,0.213799998,0.349700004,0.435400009,0.535000026,0.518299997,0.326400012,0.657100022,0.702099979,,,,,,,,,,,,,
most-forgetting,0.089199997,0.185800001,0.274599999,0.36559999,0.453200012,0.469300002,0.475800008,0.435000002,0.572000027,0.680800021,,,,,,,,,,,,,
confidence,0.089199997,0.184900001,0.277200013,0.358200014,0.430900007,0.510500014,0.507399976,0.541400015,0.559800029,0.683899999,,,,,,,,,,,,,
no,0.113499999,0.102799997,0.101000004,0.097400002,0.098399997,0.101000004,0.098200001,0.089199997,0.103299998,0.103200004,,,,,,,,,,,,,
random,0.113499999,0.213499993,0.291900009,0.298599988,0.302100003,0.208000004,0.429399997,0.509899974,0.591600001,0.728900015,,,,,,,,,,,,,
least-forgetting,0.113499999,0.214300007,0.304399997,0.391000003,0.301299989,0.308099985,0.532000005,0.660099983,0.628300011,0.768299997,,,,,,,,,,,,,
most-forgetting,0.113499999,0.212699994,0.300500005,0.374300003,0.456999987,0.514100015,0.51849997,0.519900024,0.562900007,0.648899972,,,,,,,,,,,,,
confidence,0.113499999,0.215000004,0.280900002,0.282299995,0.448399991,0.453299999,0.353899986,0.457800001,0.492900014,0.643700004,,,,,,,,,,,,,
