EPOCH,5,10,15,20,25,,,,,,,,,,,,
no,0.214399993,0.191400006,0.200499997,0.1954,0.095899999,,,,,,,,,,,,
random,0.213499993,0.305900007,0.201000005,0.277399987,0.168699995,,,,,,,,,,,,
least-forgetting,0.2139,0.373400003,0.487300009,0.205699995,0.212300003,,,,,,,,,,,,
most-forgetting,0.2139,0.285400003,0.449200004,0.511500001,0.430000007,,,,,,,,,,,,
confidence,0.214100003,0.329699993,0.427700013,0.328599989,0.343800008,,,,,,,,,,,,
no,0.199000001,0.202199996,0.212699994,0.187299997,0.1963,,,,,,,,,,,,
random,0.199000001,0.102799997,0.113499999,0.089199997,0.101000004,,,,,,,,,,,,
least-forgetting,0.198599994,0.381300002,0.560199976,0.675700009,0.101000004,,,,,,,,,,,,
most-forgetting,0.199300006,0.386400014,0.54430002,0.098200001,0.095799997,,,,,,,,,,,,
confidence,0.103299998,0.102799997,0.556100011,0.586799979,0.814400017,,,,,,,,,,,,
no,0.1875,0.203899994,0.201199993,0.113499999,0.097999997,,,,,,,,,,,,
random,0.187199995,0.373699993,0.379999995,0.435299993,0.671400011,,,,,,,,,,,,
least-forgetting,0.187600002,0.3662,0.415300012,0.513800025,0.818799973,,,,,,,,,,,,
most-forgetting,0.187099993,0.37560001,0.536599994,0.573800027,0.407599986,,,,,,,,,,,,
confidence,0.187199995,0.344999999,0.536800027,0.305099994,0.369599998,,,,,,,,,,,,
no,0.200399995,0.213799998,0.194100007,0.200000003,0.184,,,,,,,,,,,,
random,0.200100005,0.407299995,0.579299986,0.726300001,0.863300025,,,,,,,,,,,,
least-forgetting,0.200599998,0.404799998,0.560500026,0.545899987,0.719799995,,,,,,,,,,,,
most-forgetting,0.200800002,0.400299996,0.504400015,0.601000011,0.753899992,,,,,,,,,,,,
confidence,0.200599998,0.407000005,0.101000004,0.102799997,0.095799997,,,,,,,,,,,,
no,0.2086,0.191699997,0.202299997,0.098200001,0.101000004,,,,,,,,,,,,
random,0.210700005,0.392699987,0.571799994,0.668799996,0.655700028,,,,,,,,,,,,
least-forgetting,0.215200007,0.103200004,0.102799997,0.097400002,0.097999997,,,,,,,,,,,,
most-forgetting,0.208700001,0.392100006,0.568400025,0.648699999,0.82099998,,,,,,,,,,,,
confidence,0.207800001,0.395200014,0.311399996,0.097400002,0.101000004,,,,,,,,,,,,
no,0.196899995,0.215399995,0.197400004,0.1928,0.191599995,,,,,,,,,,,,
random,0.1972,0.404100001,0.101000004,0.095799997,0.102799997,,,,,,,,,,,,
least-forgetting,0.196700007,0.399899989,0.306499988,0.578100026,0.378500015,,,,,,,,,,,,
most-forgetting,0.196500003,0.403400004,0.549099982,0.665099978,0.621699989,,,,,,,,,,,,
confidence,0.196999997,0.3926,0.101000004,0.097999997,0.102799997,,,,,,,,,,,,
no,0.183500007,0.101199999,0.0977,0.113499999,0.102799997,,,,,,,,,,,,
random,0.183699995,0.372500002,0.547100008,0.549799979,0.726999998,,,,,,,,,,,,
least-forgetting,0.182799995,0.335999995,0.457500011,0.113499999,0.098200001,,,,,,,,,,,,
most-forgetting,0.183899999,0.377700001,0.446799994,0.665499985,0.728299975,,,,,,,,,,,,
confidence,0.182699993,0.346399993,0.356099993,0.697399974,0.541100025,,,,,,,,,,,,
no,0.201399997,0.195800006,0.216000006,0.184699997,0.095799997,,,,,,,,,,,,
random,0.201399997,0.379099995,0.330000013,0.616699994,0.101000004,,,,,,,,,,,,
least-forgetting,0.202199996,0.364800006,0.317299992,0.097400002,0.095799997,,,,,,,,,,,,
most-forgetting,0.200800002,0.382400006,0.536499977,0.631399989,0.630699992,,,,,,,,,,,,
confidence,0.200499997,0.349099994,0.293799996,0.365099996,0.529399991,,,,,,,,,,,,
no,0.207100004,0.201100007,0.185800001,0.196600005,0.202199996,,,,,,,,,,,,
random,0.208700001,0.311399996,0.532299995,0.623199999,0.102799997,,,,,,,,,,,,
least-forgetting,0.208700001,0.40169999,0.556400001,0.714399993,0.604200006,,,,,,,,,,,,
most-forgetting,0.209000006,0.402399987,0.558099985,0.560500026,0.629700005,,,,,,,,,,,,
confidence,0.209199995,0.310099989,0.563399971,0.731899977,0.739000022,,,,,,,,,,,,
no,0.201000005,0.194600001,0.211300001,0.193000004,0.198599994,,,,,,,,,,,,
random,0.200000003,0.098200001,0.307000011,0.400599986,0.667999983,,,,,,,,,,,,
least-forgetting,0.200399995,0.375400007,0.513400018,0.102799997,0.095799997,,,,,,,,,,,,
most-forgetting,0.2007,0.380899996,0.412499994,0.352499992,0.500999987,,,,,,,,,,,,
confidence,0.201000005,0.382800013,0.466600001,0.353500009,0.568799973,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
EPOCH,5,10,15,20,25,,EPOCH,no,no,no,no,no,no,no,no,no,no
no,0.214399993,0.191400006,0.200499997,0.1954,0.095899999,,5,0.214399993,0.199000001,0.1875,0.200399995,0.2086,0.196899995,0.183500007,0.201399997,0.207100004,0.201000005
no,0.199000001,0.202199996,0.212699994,0.187299997,0.1963,,10,0.191400006,0.202199996,0.203899994,0.213799998,0.191699997,0.215399995,0.101199999,0.195800006,0.201100007,0.194600001
no,0.1875,0.203899994,0.201199993,0.113499999,0.097999997,,15,0.200499997,0.212699994,0.201199993,0.194100007,0.202299997,0.197400004,0.0977,0.216000006,0.185800001,0.211300001
no,0.200399995,0.213799998,0.194100007,0.200000003,0.184,,20,0.1954,0.187299997,0.113499999,0.200000003,0.098200001,0.1928,0.113499999,0.184699997,0.196600005,0.193000004
no,0.2086,0.191699997,0.202299997,0.098200001,0.101000004,,25,0.095899999,0.1963,0.097999997,0.184,0.101000004,0.191599995,0.102799997,0.095799997,0.202199996,0.198599994
